"salePointId","name","zoneId","siteId"
4,"Alpina Go Bogotá",2,13
5,"Alpina Go Cali",4,13
6,"Alpina Go Medellin",5,13
7,"CARULLA COUNTRY (562)",2,14
8,"CARULLA PEPE SIERRA (567)",2,14
9,"CARULLA CALLE 140 (548)",2,14
13,"CARULLA RINCON DE COLINA (569)",2,14
14,"CARULLA CENTRO CHIA (518)",2,14
15,"CARULLA NIZA (564)",2,14
17,"11-J.Calle 80",2,15
18,"19-J.Santa Ana",2,15
19,"14-J.Calle 170",2,15
20,"15-J.Hayuelos",2,15
41,"Farmatodo Hayuelos",2,18
58,"SAO PLAZA AMERICAS ABARROTES",2,21
59,"OLIMPICA COLINA CAMPESTRE ABAR",2,21
60,"DROGUERIA 544",1,21
61,"OLIMPICA SANTA ANA ABARROTES",2,21
62,"SAO VILLA CAROLINA 094",1,21
63,"OLIMPICA STO 98 BUENAVISTA",1,21
64,"SAO 93 NEVERA",1,21
65,"SAO 53 NEVERA",1,21
66,"SAO PORTAL 80",2,21
16,"CARULLA PANCE",4,14
21,"108-J.Cañaveral",3,15
22,"Santa ana",2,16
23,"Calle 80",2,16
67,"OLIMPICA 76",1,21
85,"Éxito, bucaramanga (la rosita)-71",2,22
86,"pricesmart, bogotá",2,23
111,"CARULLA OVIEDO (334)",5,14
94,"Turbo - Televisa",2,25
99,"Turbo - Laureles",5,25
101,"Turbo - El Lago",2,25
113,"0022 Jumbo Las Vegas",5,15
114,"0083 Jumbo Caribe Plaza",7,15
115,"STO 103 BOCAGRANDE",4,21
116,"Surtimax Calle 80",2,28
117,"Super Inter",4,29
82,"Éxito, envigado-35",5,22
118,"D1 Bogota",2,30
119,"D1 Medellin",5,30
120,"D1 Cartagena",7,30
68,"OLIMPICA CONTADOR ABARROTES",2,21
69,"OLIMPICA CALLE 100 ABARROTES",2,21
71,"OLIMPICA ROSALES ABARROTES",2,21
72,"OLIMPICA MAZUREN",2,21
73,"OLIMPICA NORMANDIA ABARROTES",2,21
74,"OLIMPICA 73 NEVERA",1,21
75,"Éxito, country-81",2,22
76,"Éxito, chapinero-94",2,22
77,"Éxito, unicentro bogota-303",2,22
83,"Éxito, laureles - 37",5,22
84,"Éxito, san fernando - 51",4,22
87,"pricesmart usaquén",2,23
88,"pricesmart, medellín",5,23
89,"carulla, country-562",2,24
90,"carulla, calle 63-537",2,24
91,"carulla, quinta camacho - 568",2,24
92,"carulla, calle 140-548",2,24
93,"Turbo - Parque 93",2,25
78,"Éxito, poblado-33",5,22
79,"Éxito, la colina - 88",2,22
80,"Éxito, calle 80-86",2,22
81,"Éxito, 51b-41",1,22
95,"Turbo - San Patricio",2,25
96,"Turbo - El Poblado Baq",1,25
97,"Turbo - Rosales",2,25
98,"Turbo - La Calleja",2,25
100,"Turbo - Usaquen",2,25
102,"Turbo - El tesoro",5,25
112,"0013 Jumbo Valle Lili",4,15
105,"REBAJA No. 129",2,27
